Activo,1
Publicidad y Propagandas,6.1.3.103
Primas y Gastos de Seguros  ,6.1.3.103
Comisiones y Gastos Bancarios,6.1.3.103
Viáticos,6.1.3.103
Conservación  y/o reparación de equipos de transporte,6.1.3.103
Conservación  y/o reparación de otros equipos,6.1.3.103
Reparación menor de inmuebles,6.1.3.103
Depreciaciones y amortizaciones,6.1.4
Depreciaciones ,6.1.4.101
Amortizaciones,6.1.4.102
Otros Egresos,7
Otros Egresos,7.1
Pérdida por robo de activos,7.1.1
Anticipos Societarios,8
Anticipos  Societarios,8.1
Anticipos Societarios,8.1.1
Cuentas de Orden ,9
Cuentas de Orden ,9.1
Cuentas de Orden Deudoras,9.1.1
Proyectos entregados,9.1.1.101
Cuentas de Orden per contra,9.1.2
Proyectos entregados per contra,9.1.2.101
